Date	China AQI	US aqi
11/11/2014	59	89.375
11/12/2014	40	26.25
11/13/2014	65	80.13043478
11/14/2014	77	114
11/15/2014	143	228.7916667
11/16/2014	98	172.0416667
11/17/2014	64	74
11/18/2014	93	161.8333333
11/19/2014	282	366.4166667
11/20/2014	351	380
11/21/2014		140.6
11/22/2014	74	99.83333333
11/23/2014	155	191.7916667
11/24/2014	94	157.8333333
11/25/2014	196	230.375
11/26/2014	293	345.5416667
11/27/2014	83	126.7083333
11/28/2014	114	171
11/29/2014	276	350.2916667
11/30/2014		145.125
12/1/2014	54	54.79166667
12/2/2014	65	112.0833333
12/3/2014	51	63.58333333
12/4/2014	31	37.58333333
12/5/2014	62	79.68181818
12/6/2014	89	137.9166667
12/7/2014	65	120.125
12/8/2014	82	103.2777778
12/9/2014	276	394.8461538
12/10/2014	153	199.5416667
12/11/2014	52	72.25
12/12/2014	41	51.125
12/13/2014	69	112.0416667
12/14/2014	113	174.4583333
12/15/2014	82	130.5
12/16/2014	33	43.875
12/17/2014	99	161.0833333
12/18/2014		222.7083333
12/19/2014	53	120.0833333
12/20/2014	32	42
12/21/2014	44	60.29166667
12/22/2014	103	170.9583333
12/23/2014	100	170.125
12/24/2014	44	54
12/25/2014	73	82.08333333
12/26/2014	155	226.4166667
12/27/2014	243	288.5
12/28/2014	155	255.5833333
12/29/2014	125	215.875
12/30/2014	65	108.5416667
12/31/2014	43	40.83333333
1/1/2015	65	107.1666667
1/2/2015	79	123.3333333
1/3/2015	200	252.4166667
1/4/2015	226	258.3333333
1/5/2015	122	150.0833333
1/6/2015	60	96.75
1/7/2015	85	150.9565217
1/8/2015	190	222.0833333
1/9/2015	105	148.6666667
1/10/2015	208	246.0416667
1/11/2015	59	79.58333333
1/12/2015	160	179.5416667
1/13/2015	211	239.0416667
1/14/2015	265	288.3333333
1/15/2015	386	400
1/16/2015	118	143.0416667
1/17/2015	89	120.4583333
1/18/2015	94	135.4166667
1/19/2015	77	117.2916667
1/20/2015	113	169.4583333
1/21/2015	48	58.54166667
1/22/2015	143	173.5
1/23/2015	257	276.375
1/24/2015	117	157.75
1/25/2015	185	189.5652174
1/26/2015	119	134.9166667
1/27/2015	43	66.66666667
1/28/2015	65	99.79166667
1/29/2015	87	120.875
1/30/2015	35	45.16666667
1/31/2015	60	85.76190476
2/1/2015	108	152
2/2/2015	188	212.9166667
2/3/2015	143	169.3913043
2/4/2015	36	45.33333333
2/5/2015	62	76.08333333
2/6/2015	100	152.875
2/7/2015	37	40.45833333
2/8/2015	46	70.95833333
2/9/2015	152	184.25
2/10/2015	166	200.0416667
2/11/2015	55	103.7142857
2/12/2015	59	91.41666667
2/13/2015	175	204.3913043
2/14/2015	293	315.125
2/15/2015	326	342.25
2/16/2015	153	166.9166667
2/17/2015	44	75.04166667
2/18/2015	73	93.83333333
2/19/2015	267	251.7826087
2/20/2015	183	197.3333333
2/21/2015	394	209.2916667
2/22/2015	158	106.9583333
2/23/2015	86	113.5416667
2/24/2015	207	223.5416667
2/25/2015	88	112.8333333
2/26/2015	39	56.5
2/27/2015	41	77.91666667
2/28/2015	165	205.6666667
3/1/2015	70	104.5833333
3/2/2015	74	126.7083333
3/3/2015	50	31.41666667
3/4/2015	47	69.33333333
3/5/2015	153	179.375
3/6/2015	251	251.5833333
3/7/2015	279	282.2083333
3/8/2015	152	160.5652174
3/9/2015	40	31.625
3/10/2015	57	79.5
3/11/2015	64	107.125
3/12/2015	98	156.6666667
3/13/2015	89	127.5416667
3/14/2015	132	174.875
3/15/2015	137	186.5
3/16/2015	266	261.9583333
3/17/2015	226	262.75
3/18/2015	75	117.75
3/19/2015	134	170.0833333
3/20/2015	123	115.5
3/21/2015	75	65.82608696
3/22/2015	79	69.29166667
3/23/2015	70	101.7083333
3/24/2015	109	164.4166667
3/25/2015	160	185.8333333
3/26/2015	137	174
3/27/2015	143	165.2
3/28/2015	174	90.2
3/29/2015	176	159.5714286
3/30/2015	201	219.5714286
3/31/2015	192	193.75
4/1/2015	77	131.3333333
4/2/2015	50	106.7916667
4/3/2015	62	89.33333333
4/4/2015	90	141
4/5/2015	70	114.9583333
4/6/2015	43	68.9375
4/7/2015	50	76.83333333
4/8/2015	135	173.7916667
4/9/2015	217	216.625
4/10/2015	201	225.4583333
4/11/2015	182	213.0833333
4/12/2015	44	61.375
4/13/2015	68	101.25
4/14/2015	78	150.9583333
4/15/2015	181	212.25
4/16/2015	87	94.30434783
4/17/2015	116	156.4166667
4/18/2015		197.8333333
4/19/2015	87	135.4166667
4/20/2015	90	150.8333333
4/21/2015	91	138.875
4/22/2015	85	133.0416667
4/23/2015	80	132.6666667
4/24/2015	107	148.0833333
4/25/2015	119	167.8333333
4/26/2015	161	179.875
4/27/2015	115	168.3333333
4/28/2015	79	127
4/29/2015	152	183.7083333
4/30/2015	153	181.875
5/1/2015	150	187.5
5/2/2015	89	121.8333333
5/3/2015	66	108.0416667
5/4/2015	67	70.33333333
5/5/2015	72	120.6666667
5/6/2015	63	75.5
5/7/2015	87	134.0416667
5/8/2015	73	123.1666667
5/9/2015	52	108.7619048
5/10/2015	59	117.0833333
5/11/2015	43	86.08695652
5/12/2015	58	72.5
5/13/2015	102	155.2916667
5/14/2015	62	71.33333333
5/15/2015	68	89.25
5/16/2015	120	128.0833333
5/17/2015	178	190.625
5/18/2015	72	117.4583333
5/19/2015	47	51.125
5/20/2015	65	56.125
5/21/2015	92	103.0416667
5/22/2015	141	146.0833333
5/23/2015	177	172.0833333
5/24/2015	176	185.2083333
5/25/2015	203	172.25
5/26/2015	190	165.0416667
5/27/2015	160	173.0416667
5/28/2015	142	179.1666667
5/29/2015	99	150.8333333
5/30/2015	140	152.4583333
5/31/2015	154	149.3333333
6/1/2015	158	176.6666667
6/2/2015	83	100.4583333
6/3/2015	79	102.5
6/4/2015	102	125.6666667
6/5/2015		124.2916667
6/6/2015	104	77.66666667
6/7/2015	63	59.20833333
6/8/2015	69	60.83333333
6/9/2015	137	135.6666667
6/10/2015	103	150.9583333
6/11/2015	46	68.45833333
6/12/2015	44	30.75
6/13/2015	66	50.9047619
6/14/2015	100	61.58333333
6/15/2015	163	164.8695652
6/16/2015	179	170.5
6/17/2015	115	107.25
6/18/2015	49	62.33333333
6/19/2015	39	65.70833333
6/20/2015	111	77.83333333
6/21/2015	139	117.3333333
6/22/2015	163	161.7083333
6/23/2015	236	219.2916667
6/24/2015	153	169.1666667
6/25/2015	163	170.375
6/26/2015	135	157.1
6/27/2015	124	139.7916667
6/28/2015	201	181.625
6/29/2015	147	143.375
6/30/2015	51	49.58333333
7/1/2015	45	60.58333333
7/2/2015	46	29.375
7/3/2015	116	78.20833333
7/4/2015	76	89.13043478
7/5/2015	159	145.4583333
7/6/2015	154	141.25
7/7/2015	156	146.3333333
7/8/2015	173	173.3333333
7/9/2015	170	143.5416667
7/10/2015	143	116.1666667
7/11/2015	179	166.2083333
7/12/2015	201	169.5833333
7/13/2015	185	117.8333333
7/14/2015	155	99.52173913
7/15/2015	75	100.7083333
7/16/2015	56	105.875
7/17/2015	55	97.25
7/18/2015	81	116.4583333
7/19/2015	95	154.4583333
7/20/2015	118	164.25
7/21/2015	176	179.25
7/22/2015	110	136.8333333
7/23/2015	70	115.375
7/24/2015	138	132.125
7/25/2015	158	162.625
7/26/2015	151	175.5833333
7/27/2015	130	134.75
7/28/2015	109	127.625
7/29/2015	138	165.875
7/30/2015	75	100.875
7/31/2015	85	73.875
8/1/2015	90	157.9583333
8/2/2015	102	151.625
8/3/2015	82	124.0833333
8/4/2015	110	62.58333333
8/5/2015	127	154.125
8/6/2015	119	116.7916667
8/7/2015	119	155.6666667
8/8/2015	110	115.2916667
8/9/2015	152	132.7083333
8/10/2015	112	110.25
8/11/2015	175	168.0416667
8/12/2015	161	163.2083333
8/13/2015	202	178.875
8/14/2015	119	122.0833333
8/15/2015	80	73.66666667
8/16/2015	201	103.7083333
8/17/2015	145	159.0416667
8/18/2015	90	119.0434783
8/19/2015	97	139.75
8/20/2015	100	92.75
8/21/2015	94	51.75
8/22/2015	56	53.08333333
8/23/2015	53	68.04166667
8/24/2015		54.41666667
8/25/2015	50	57.25
8/26/2015	61	42.54166667
8/27/2015	60	44.75
8/28/2015	70	56.16666667
8/29/2015	118	80.91666667
8/30/2015	74	83.79166667
8/31/2015	37	88.66666667
9/1/2015	34	42.95833333
9/2/2015	44	34.125
9/3/2015	74	50.29166667
9/4/2015	64	133.0833333
9/5/2015	44	68.45833333
9/6/2015	63	60.75
9/7/2015	84	81.16666667
9/8/2015	104	138.6666667
9/9/2015	50	103.0416667
9/10/2015	37	36.125
9/11/2015	35	37.04166667
9/12/2015	34	28.66666667
9/13/2015	57	61.75
9/14/2015	89	142.9090909
9/15/2015	140	175.4166667
9/16/2015	169	189.7083333
9/17/2015	201	195.0416667
9/18/2015	102	143.2083333
9/19/2015	69	57.875
9/20/2015	114	161.5416667
9/21/2015	133	160.75
9/22/2015	179	179.5
9/23/2015	57	80.79166667
9/24/2015	124	158.9583333
9/25/2015	49	57.82608696
9/26/2015	74	83.70833333
9/27/2015	73	122.5416667
9/28/2015	68	120.4583333
9/29/2015	62	114.9166667
9/30/2015	48	73.66666667
10/1/2015	33	42.19047619
10/2/2015	59	73.25
10/3/2015	62	69.58333333
10/4/2015	149	180.25
10/5/2015	272	247.2083333
10/6/2015	343	322.2916667
10/7/2015	310	276.2083333
10/8/2015	35	30
10/9/2015	39	61.7826087
10/10/2015	27	25.15789474
10/11/2015	37	30.54166667
10/12/2015	60	45.625
10/13/2015	84	95.25
10/14/2015	135	183.2916667
10/15/2015	143	181.7916667
10/16/2015	253	261.0833333
10/17/2015	344	353.2083333
10/18/2015	64	121.4583333
10/19/2015	78	128.5416667
10/20/2015	99	159.2916667
10/21/2015	70	133.4166667
10/22/2015	54	87.875
10/23/2015	74	127.2083333
10/24/2015	75	127
10/25/2015	74	89.66666667
10/26/2015	63	88.625
10/27/2015	48	52.04166667
10/28/2015	30	32.45833333
10/29/2015	30	36.875
10/30/2015	58	72.45833333
10/31/2015	73	110.9166667
11/1/2015	98	147.5833333
11/2/2015	102	164.6666667
11/3/2015	199	218.9583333
11/4/2015	260	256.25
11/5/2015	144	166.875
11/6/2015	37	61.91666667
11/7/2015	37	55.375
11/8/2015	82	127.3333333
11/9/2015	163	197.9583333
11/10/2015	175	192.5833333
11/11/2015	137	184.9583333
11/12/2015	205	217.75
11/13/2015	258	255.2916667
11/14/2015	324	308.4166667
11/15/2015	246	264.0416667
11/16/2015	79	141.1666667
11/17/2015	82	132.2916667
11/18/2015	92	144.0416667
11/19/2015	102	165.2083333
11/20/2015	88	151.125
11/21/2015	60	119.0416667
11/22/2015	69	128.875
11/23/2015	39	82.375
11/24/2015	65	86.33333333
11/25/2015	69	113.5
11/26/2015	55	74.25
11/27/2015	264	293
11/28/2015	308	352.0833333
11/29/2015	302	301.5833333
11/30/2015	450	420.75
12/1/2015	476	488.2083333
12/2/2015	24	29.41666667
12/3/2015	33	37.375
12/4/2015	54	61.25
12/5/2015	77	104.1666667
12/6/2015	175	215.0416667
12/7/2015	230	234.125
12/8/2015	295	317.5833333
12/9/2015	294	317.6666667
12/10/2015	127	159
12/11/2015	75	101.5416667
12/12/2015	172	215.375
12/13/2015	229	254.3333333
12/14/2015	207	199.625
12/15/2015	28	25.875
12/16/2015	23	29.95833333
12/17/2015	84	116.6521739
12/18/2015	80	144.6666667
12/19/2015	168	220.5333333
12/20/2015	249	279.0833333
12/21/2015	280	288.1666667
12/22/2015	347	375.0833333
12/23/2015	305	317.0833333
12/24/2015	209	157.2916667
12/25/2015	485	525.125
12/26/2015	315	316.6666667
12/27/2015	75	123.5416667
12/28/2015	149	180.4166667
12/29/2015	329	361.125
12/30/2015	104	156.875
12/31/2015	90	122.375
